Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,0.029290,0.030707,0.028825,0.029768,0.029768,7015826
2020-07-30,0.029741,0.030054,0.029263,0.029532,0.029532,5408556
2020-07-31,0.029532,0.030303,0.029445,0.029615,0.029615,5782180
2020-08-01,0.029615,0.030380,0.029466,0.029645,0.029645,5369304
2020-08-02,0.029655,0.029958,0.028018,0.028551,0.028551,5884214
2020-08-03,0.028600,0.029635,0.028445,0.029166,0.029166,4966741
2020-08-04,0.029164,0.029636,0.028491,0.029173,0.029173,4276100
2020-08-05,0.029225,0.029700,0.028736,0.029004,0.029004,3639334
2020-08-06,0.028990,0.029639,0.028875,0.029473,0.029473,4339454
2020-08-07,0.029419,0.029791,0.028508,0.029002,0.029002,3166290
2020-08-08,0.029013,0.032073,0.029002,0.031900,0.031900,5292195
2020-08-09,0.031887,0.033751,0.031435,0.033232,0.033232,6714789
2020-08-10,0.033234,0.036862,0.032069,0.036806,0.036806,13526173
2020-08-11,0.036800,0.038027,0.032087,0.033278,0.033278,10752111
2020-08-12,0.033296,0.035533,0.032117,0.034123,0.034123,6723877
2020-08-13,0.034093,0.035436,0.032436,0.034854,0.034854,5883896
2020-08-14,0.034842,0.037137,0.034743,0.036913,0.036913,5166366
2020-08-15,0.036936,0.037245,0.035678,0.035833,0.035833,2919285
2020-08-16,0.035845,0.038405,0.035815,0.038095,0.038095,3719140
2020-08-17,0.038095,0.042568,0.037845,0.040608,0.040608,9956393
2020-08-18,0.040869,0.048393,0.040297,0.043921,0.043921,18394745
2020-08-19,0.043921,0.044619,0.039119,0.040086,0.040086,6658361
2020-08-20,0.040079,0.046520,0.039509,0.046159,0.046159,7548958
2020-08-21,0.046082,0.050691,0.042980,0.050691,0.050691,15819712
2020-08-22,0.051871,0.054916,0.044236,0.048097,0.048097,18227533
2020-08-23,0.048055,0.048063,0.045417,0.046929,0.046929,5064731
2020-08-24,0.046929,0.048356,0.046079,0.047403,0.047403,4952285
2020-08-25,0.047440,0.047518,0.040976,0.042278,0.042278,8933703
2020-08-26,0.042288,0.043794,0.040952,0.042068,0.042068,8708026
2020-08-27,0.042127,0.042259,0.038868,0.039970,0.039970,10126818
2020-08-28,0.039958,0.046049,0.039681,0.043014,0.043014,18029332
2020-08-29,0.043010,0.045852,0.042749,0.045107,0.045107,13637242
2020-08-30,0.045129,0.045751,0.043138,0.043701,0.043701,8928378
2020-08-31,0.043670,0.044843,0.042573,0.044236,0.044236,7499829
2020-09-01,0.044220,0.044220,0.040660,0.041438,0.041438,8193156
2020-09-02,0.041398,0.041427,0.037206,0.038344,0.038344,4251553
2020-09-03,0.038345,0.038787,0.029491,0.029540,0.029540,4272586
2020-09-04,0.029504,0.032129,0.029447,0.031645,0.031645,4011932
2020-09-05,0.031663,0.032575,0.027576,0.029048,0.029048,3086127
